Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
0.001,0.365,0.969,0.36,0.013,0.329,0.025,0.833,0.045,3.041,0.0,0.01,0.002,0.01,0.0,0.011,0.0,0.004,0.002,0.102
0.002,0.415,0.957,0.411,0.014,0.368,0.027,0.833,0.045,2.738,0.0,0.035,0.007,0.035,0.001,0.029,0.001,0.004,0.002,0.222
0.003,0.488,0.935,0.484,0.015,0.419,0.03,0.833,0.045,2.395,0.0,0.034,0.014,0.035,0.001,0.022,0.002,0.004,0.002,0.124
0.004,0.56,0.909,0.557,0.017,0.466,0.034,0.833,0.045,2.148,0.0,0.023,0.011,0.023,0.001,0.016,0.001,0.004,0.002,0.07
0.005,0.615,0.883,0.612,0.019,0.495,0.037,0.833,0.045,2.022,0.0,0.029,0.024,0.03,0.001,0.014,0.002,0.004,0.002,0.058
0.006,0.64,0.864,0.638,0.02,0.501,0.039,0.833,0.045,1.996,0.0,0.025,0.021,0.026,0.001,0.012,0.002,0.004,0.002,0.047
0.007,0.677,0.837,0.676,0.021,0.513,0.042,0.833,0.045,1.95,0.0,0.016,0.022,0.016,0.001,0.009,0.001,0.004,0.002,0.033
0.008,0.685,0.83,0.684,0.022,0.514,0.043,0.833,0.045,1.946,0.0,0.014,0.017,0.014,0.001,0.01,0.001,0.004,0.002,0.038
0.009,0.72,0.799,0.719,0.024,0.518,0.046,0.833,0.045,1.932,0.0,0.019,0.027,0.019,0.001,0.017,0.002,0.004,0.002,0.065
0.01,0.731,0.786,0.73,0.024,0.516,0.047,0.833,0.045,1.939,0.0,0.015,0.024,0.015,0.001,0.018,0.002,0.004,0.002,0.065
0.011,0.762,0.749,0.762,0.026,0.511,0.051,0.833,0.045,1.959,0.0,0.024,0.037,0.025,0.002,0.018,0.003,0.004,0.002,0.068
0.012,0.777,0.728,0.777,0.027,0.506,0.052,0.833,0.045,1.981,0.0,0.019,0.038,0.019,0.001,0.021,0.002,0.004,0.002,0.08
0.013,0.788,0.711,0.788,0.028,0.499,0.054,0.833,0.045,2.007,0.0,0.02,0.036,0.02,0.002,0.019,0.003,0.004,0.002,0.073
0.014,0.817,0.667,0.818,0.03,0.485,0.058,0.833,0.045,2.063,0.0,0.013,0.016,0.013,0.002,0.012,0.003,0.004,0.002,0.049
0.015,0.83,0.643,0.831,0.031,0.474,0.06,0.833,0.045,2.11,0.0,0.01,0.012,0.01,0.001,0.007,0.002,0.004,0.002,0.031
0.016,0.845,0.618,0.847,0.033,0.465,0.063,0.833,0.045,2.151,0.0,0.009,0.016,0.009,0.001,0.009,0.002,0.004,0.002,0.043
0.017,0.845,0.618,0.847,0.033,0.465,0.063,0.833,0.045,2.151,0.0,0.009,0.016,0.009,0.001,0.009,0.002,0.004,0.002,0.043
0.018,0.845,0.618,0.847,0.033,0.465,0.063,0.833,0.045,2.151,0.0,0.009,0.016,0.009,0.001,0.009,0.002,0.004,0.002,0.043
0.019,0.866,0.569,0.868,0.036,0.438,0.068,0.833,0.045,2.289,0.0,0.021,0.04,0.021,0.003,0.019,0.006,0.004,0.002,0.103
0.02,0.881,0.532,0.884,0.038,0.416,0.071,0.833,0.045,2.41,0.0,0.02,0.044,0.021,0.003,0.024,0.005,0.004,0.002,0.141
0.021,0.897,0.494,0.9,0.04,0.395,0.075,0.833,0.045,2.546,0.0,0.01,0.035,0.01,0.002,0.026,0.003,0.004,0.002,0.171
0.022,0.901,0.485,0.904,0.041,0.389,0.076,0.833,0.045,2.576,0.0,0.002,0.021,0.002,0.001,0.02,0.002,0.004,0.002,0.135
0.023,0.902,0.482,0.905,0.041,0.387,0.076,0.833,0.045,2.591,0.0,0.003,0.024,0.003,0.001,0.021,0.002,0.004,0.002,0.151
0.024,0.904,0.477,0.907,0.042,0.385,0.077,0.833,0.045,2.607,0.0,0.003,0.021,0.003,0.001,0.02,0.003,0.004,0.002,0.141
0.025,0.909,0.462,0.913,0.044,0.375,0.08,0.833,0.045,2.68,0.0,0.011,0.033,0.012,0.004,0.023,0.006,0.004,0.002,0.17
0.026,0.917,0.437,0.921,0.046,0.357,0.082,0.833,0.045,2.815,0.0,0.015,0.041,0.016,0.005,0.027,0.008,0.004,0.002,0.215
0.027,0.928,0.399,0.932,0.048,0.331,0.086,0.833,0.045,3.023,0.0,0.011,0.022,0.011,0.005,0.013,0.007,0.004,0.002,0.12
0.028,0.93,0.391,0.935,0.049,0.326,0.086,0.833,0.045,3.073,0.0,0.007,0.012,0.007,0.004,0.011,0.006,0.004,0.002,0.097
0.029,0.931,0.384,0.936,0.049,0.32,0.087,0.833,0.045,3.122,0.0,0.008,0.008,0.008,0.004,0.003,0.007,0.004,0.002,0.031
0.03,0.931,0.384,0.936,0.049,0.32,0.087,0.833,0.045,3.122,0.0,0.008,0.008,0.008,0.004,0.003,0.007,0.004,0.002,0.031
0.031,0.934,0.369,0.939,0.049,0.308,0.087,0.833,0.045,3.261,0.0,0.004,0.021,0.004,0.004,0.022,0.007,0.004,0.002,0.255
0.032,0.938,0.357,0.943,0.05,0.299,0.088,0.833,0.045,3.364,0.0,0.005,0.026,0.005,0.004,0.025,0.007,0.004,0.002,0.288
0.033,0.939,0.351,0.944,0.051,0.295,0.088,0.833,0.045,3.435,0.0,0.006,0.035,0.007,0.004,0.031,0.007,0.004,0.002,0.382
0.034,0.94,0.347,0.945,0.051,0.292,0.089,0.833,0.045,3.46,0.0,0.007,0.034,0.007,0.005,0.03,0.008,0.004,0.002,0.369
0.035,0.941,0.339,0.947,0.052,0.285,0.089,0.833,0.045,3.539,0.0,0.007,0.031,0.007,0.005,0.027,0.008,0.004,0.002,0.334
0.036,0.941,0.339,0.947,0.052,0.285,0.089,0.833,0.045,3.539,0.0,0.007,0.031,0.007,0.005,0.027,0.008,0.004,0.002,0.334
0.037,0.942,0.336,0.947,0.052,0.283,0.09,0.833,0.045,3.556,0.0,0.007,0.027,0.007,0.005,0.025,0.008,0.004,0.002,0.31
0.038,0.949,0.307,0.955,0.054,0.262,0.092,0.833,0.045,3.852,0.0,0.002,0.023,0.002,0.004,0.023,0.006,0.004,0.002,0.359
0.039,0.951,0.302,0.956,0.055,0.258,0.093,0.833,0.045,3.905,0.0,0.004,0.023,0.004,0.005,0.021,0.007,0.004,0.002,0.337
0.04,0.952,0.295,0.958,0.056,0.253,0.094,0.833,0.045,4.011,0.0,0.004,0.033,0.005,0.004,0.029,0.006,0.004,0.002,0.53
0.041,0.954,0.286,0.96,0.057,0.246,0.095,0.833,0.045,4.121,0.0,0.003,0.028,0.003,0.004,0.026,0.006,0.004,0.002,0.475
0.042,0.956,0.279,0.962,0.058,0.241,0.096,0.833,0.045,4.237,0.0,0.004,0.036,0.005,0.002,0.032,0.005,0.004,0.002,0.651
0.043,0.959,0.264,0.964,0.06,0.229,0.097,0.833,0.045,4.503,0.0,0.006,0.045,0.007,0.004,0.039,0.005,0.004,0.002,0.793
0.044,0.96,0.258,0.966,0.06,0.223,0.097,0.833,0.045,4.612,0.0,0.006,0.045,0.006,0.003,0.039,0.005,0.004,0.002,0.777
0.045,0.96,0.257,0.966,0.06,0.223,0.097,0.833,0.045,4.625,0.0,0.006,0.045,0.007,0.003,0.039,0.005,0.004,0.002,0.791
0.046,0.962,0.247,0.968,0.062,0.215,0.099,0.833,0.045,4.834,0.0,0.008,0.051,0.008,0.005,0.043,0.005,0.004,0.002,0.898
0.047,0.967,0.215,0.974,0.066,0.189,0.1,0.833,0.045,5.47,0.0,0.007,0.043,0.007,0.006,0.037,0.006,0.004,0.002,0.929
0.048,0.97,0.199,0.977,0.069,0.176,0.101,0.833,0.045,5.793,0.0,0.005,0.027,0.005,0.008,0.023,0.007,0.004,0.002,0.842
0.049,0.97,0.198,0.977,0.069,0.175,0.102,0.833,0.045,5.824,0.0,0.004,0.026,0.005,0.007,0.022,0.006,0.004,0.002,0.833
0.05,0.97,0.198,0.977,0.069,0.175,0.102,0.833,0.045,5.824,0.0,0.004,0.026,0.005,0.007,0.022,0.006,0.004,0.002,0.833
0.051,0.971,0.19,0.978,0.069,0.168,0.101,0.833,0.045,6.106,0.0,0.005,0.03,0.005,0.007,0.026,0.007,0.004,0.002,0.966
0.052,0.972,0.183,0.979,0.07,0.162,0.099,0.833,0.045,6.507,0.0,0.006,0.04,0.006,0.008,0.035,0.006,0.004,0.002,1.615
0.053,0.975,0.167,0.982,0.074,0.149,0.1,0.833,0.045,7.085,0.0,0.005,0.04,0.005,0.006,0.035,0.005,0.004,0.002,1.605
0.054,0.977,0.15,0.984,0.077,0.135,0.101,0.833,0.045,7.611,0.0,0.004,0.026,0.005,0.009,0.021,0.006,0.004,0.002,1.172
0.055,0.978,0.145,0.985,0.078,0.13,0.1,0.833,0.045,7.788,0.0,0.003,0.018,0.003,0.009,0.015,0.006,0.004,0.002,0.937
0.056,0.979,0.143,0.986,0.08,0.128,0.101,0.833,0.045,7.907,0.0,0.003,0.019,0.004,0.009,0.016,0.006,0.004,0.002,1.014
0.057,0.979,0.14,0.986,0.08,0.126,0.101,0.833,0.045,8.052,0.0,0.004,0.02,0.004,0.01,0.016,0.005,0.004,0.002,1.0
0.058,0.979,0.14,0.986,0.08,0.126,0.101,0.833,0.045,8.052,0.0,0.004,0.02,0.004,0.01,0.016,0.005,0.004,0.002,1.0
0.059,0.981,0.123,0.988,0.082,0.111,0.097,0.833,0.045,9.478,0.0,0.003,0.025,0.003,0.008,0.023,0.011,0.004,0.002,2.323
0.06,0.981,0.123,0.988,0.082,0.111,0.097,0.833,0.045,9.478,0.0,0.003,0.025,0.003,0.008,0.023,0.011,0.004,0.002,2.322
0.061,0.982,0.115,0.989,0.083,0.104,0.095,0.833,0.045,10.526,0.0,0.003,0.028,0.003,0.007,0.025,0.014,0.004,0.002,3.805
0.062,0.982,0.112,0.989,0.083,0.102,0.094,0.833,0.045,10.699,0.0,0.002,0.026,0.003,0.007,0.024,0.014,0.004,0.002,3.71
0.063,0.984,0.097,0.991,0.087,0.088,0.089,0.833,0.045,13.439,0.0,0.003,0.035,0.003,0.005,0.032,0.019,0.004,0.002,5.868
0.064,0.984,0.097,0.991,0.087,0.088,0.089,0.833,0.045,13.439,0.0,0.003,0.035,0.003,0.005,0.032,0.019,0.004,0.002,5.868
0.065,0.984,0.097,0.991,0.087,0.088,0.089,0.833,0.045,13.439,0.0,0.003,0.035,0.003,0.005,0.032,0.019,0.004,0.002,5.868
0.066,0.984,0.097,0.991,0.087,0.088,0.089,0.833,0.045,13.439,0.0,0.003,0.035,0.003,0.005,0.032,0.019,0.004,0.002,5.868
0.067,0.984,0.097,0.991,0.087,0.088,0.089,0.833,0.045,13.437,0.0,0.003,0.035,0.003,0.005,0.032,0.019,0.004,0.002,5.864
0.068,0.984,0.097,0.991,0.087,0.088,0.089,0.833,0.045,13.437,0.0,0.003,0.035,0.003,0.005,0.032,0.019,0.004,0.002,5.864
0.069,0.985,0.089,0.992,0.089,0.082,0.086,0.833,0.045,14.275,0.0,0.002,0.034,0.003,0.006,0.031,0.018,0.004,0.002,5.489
0.07,0.985,0.089,0.992,0.089,0.082,0.086,0.833,0.045,14.274,0.0,0.002,0.034,0.003,0.006,0.031,0.018,0.004,0.002,5.487
0.071,0.986,0.077,0.993,0.092,0.07,0.081,0.833,0.045,15.768,0.0,0.002,0.026,0.003,0.009,0.024,0.014,0.004,0.002,4.584
0.072,0.986,0.077,0.993,0.092,0.07,0.081,0.833,0.045,15.761,0.0,0.002,0.026,0.002,0.009,0.024,0.014,0.004,0.002,4.588
0.073,0.986,0.077,0.993,0.092,0.07,0.081,0.833,0.045,15.761,0.0,0.002,0.026,0.002,0.009,0.024,0.014,0.004,0.002,4.588
0.074,0.986,0.077,0.993,0.092,0.07,0.081,0.833,0.045,15.761,0.0,0.002,0.026,0.002,0.009,0.024,0.014,0.004,0.002,4.588
0.075,0.987,0.062,0.995,0.099,0.057,0.075,0.833,0.045,18.033,0.0,0.001,0.011,0.001,0.015,0.01,0.008,0.004,0.002,3.158
0.076,0.987,0.062,0.995,0.099,0.057,0.075,0.833,0.045,18.033,0.0,0.001,0.011,0.001,0.015,0.01,0.008,0.004,0.002,3.158
0.077,0.988,0.052,0.996,0.102,0.048,0.068,0.833,0.045,21.445,0.0,0.001,0.009,0.001,0.014,0.009,0.009,0.004,0.002,3.76
0.078,0.988,0.052,0.996,0.102,0.048,0.068,0.833,0.045,21.445,0.0,0.001,0.009,0.001,0.014,0.009,0.009,0.004,0.002,3.76
0.079,0.988,0.052,0.996,0.102,0.048,0.068,0.833,0.045,21.445,0.0,0.001,0.009,0.001,0.014,0.009,0.009,0.004,0.002,3.76
0.08,0.988,0.049,0.996,0.103,0.045,0.066,0.833,0.045,22.443,0.0,0.001,0.005,0.001,0.015,0.005,0.006,0.004,0.002,2.587
0.081,0.988,0.048,0.996,0.104,0.045,0.066,0.833,0.045,22.66,0.0,0.001,0.005,0.001,0.015,0.005,0.006,0.004,0.002,2.635
0.082,0.988,0.048,0.996,0.104,0.045,0.066,0.833,0.045,22.66,0.0,0.001,0.005,0.001,0.015,0.005,0.006,0.004,0.002,2.635
0.083,0.988,0.048,0.996,0.104,0.045,0.066,0.833,0.045,22.66,0.0,0.001,0.005,0.001,0.015,0.005,0.006,0.004,0.002,2.635
0.084,0.989,0.044,0.997,0.109,0.041,0.063,0.833,0.045,24.684,0.0,0.0,0.005,0.0,0.011,0.005,0.007,0.004,0.002,2.9
0.085,0.989,0.042,0.997,0.108,0.04,0.061,0.833,0.045,25.805,0.0,0.0,0.006,0.0,0.011,0.006,0.007,0.004,0.002,3.449
0.086,0.989,0.042,0.997,0.108,0.04,0.061,0.833,0.045,25.805,0.0,0.0,0.006,0.0,0.011,0.006,0.007,0.004,0.002,3.449
0.087,0.989,0.042,0.997,0.108,0.04,0.061,0.833,0.045,25.805,0.0,0.0,0.006,0.0,0.011,0.006,0.007,0.004,0.002,3.449
0.088,0.989,0.042,0.997,0.108,0.04,0.061,0.833,0.045,25.805,0.0,0.0,0.006,0.0,0.011,0.006,0.007,0.004,0.002,3.449
0.089,0.989,0.042,0.997,0.109,0.04,0.061,0.833,0.045,25.804,0.0,0.0,0.006,0.0,0.011,0.006,0.007,0.004,0.002,3.45
0.09,0.989,0.041,0.997,0.111,0.038,0.059,0.833,0.045,27.014,0.0,0.0,0.006,0.0,0.011,0.006,0.007,0.004,0.002,3.547
0.091,0.989,0.041,0.997,0.111,0.038,0.059,0.833,0.045,27.013,0.0,0.0,0.006,0.0,0.011,0.006,0.007,0.004,0.002,3.549
0.092,0.989,0.041,0.997,0.111,0.038,0.059,0.833,0.045,27.013,0.0,0.0,0.006,0.0,0.011,0.006,0.007,0.004,0.002,3.549
0.093,0.989,0.041,0.997,0.111,0.038,0.059,0.833,0.045,27.012,0.0,0.0,0.006,0.0,0.011,0.006,0.007,0.004,0.002,3.547
0.094,0.989,0.041,0.997,0.111,0.038,0.059,0.833,0.045,27.012,0.0,0.0,0.006,0.0,0.011,0.006,0.007,0.004,0.002,3.547
0.095,0.989,0.041,0.997,0.111,0.038,0.059,0.833,0.045,27.01,0.0,0.0,0.006,0.0,0.011,0.006,0.007,0.004,0.002,3.546
0.096,0.989,0.041,0.997,0.111,0.038,0.059,0.833,0.045,27.008,0.0,0.0,0.006,0.0,0.011,0.006,0.007,0.004,0.002,3.544
0.097,0.989,0.04,0.997,0.11,0.038,0.059,0.833,0.045,27.228,0.0,0.0,0.006,0.0,0.011,0.006,0.008,0.004,0.002,3.734
0.098,0.99,0.031,0.998,0.123,0.029,0.047,0.833,0.045,49.518,0.0,0.001,0.016,0.001,0.026,0.015,0.02,0.004,0.002,33.128
0.099,0.99,0.031,0.998,0.123,0.029,0.047,0.833,0.045,49.518,0.0,0.001,0.016,0.001,0.026,0.015,0.02,0.004,0.002,33.128
0.1,0.99,0.022,0.998,0.125,0.021,0.035,0.833,0.045,74.836,0.0,0.001,0.014,0.001,0.027,0.013,0.018,0.004,0.002,46.623
