step,feature,auc,gain,is_imaging
1,AMY_SUMMARY_SUVR,0.7187970630200848,0.7187970630200848,True
2,FS_ST29SV,0.7692833391681969,0.050486276148112075,True
3,FS_ST89SV,0.7848225219382073,0.015539182770010429,True
4,APOE4_count,0.7972773017464146,0.012454779808207306,False
5,GFAP_F,0.8052396162482569,0.00796231450184226,False
6,FS_ST32TA,0.8158714140196522,0.010631797771395335,True
7,TAU_META_TEMPORAL_SUVR,0.8212261481996992,0.0053547341800469495,True
8,AB40_F,0.8262093531853358,0.004983204985636647,False
9,FS_ST44TA,0.8321898351918048,0.005980482006468946,True
10,FS_ST24CV,0.8324108051807068,0.0002209699889019756,True
11,FS_ST94TS,0.8318422801882989,-0.0005685249924078928,True
