rank,feature
1,TAU_META_TEMPORAL_SUVR
2,FS_ST55CV
3,AMY_COMPOSITE_REF_SUVR
4,FS_ST7SV
5,FS_ST62SA
6,FS_ST119SA
7,FS_ST60TA
8,FS_ST84TA
9,FS_ST46TS
10,FS_ST102SA
