auc,ap,brier,accuracy,sensitivity,specificity,precision,n_events,n_total,best_cutoff,auc_cv_mean,auc_cv_std,target,label,population,n_censored
0.8076613507038035,0.5834609101257714,0.13321319285780112,0.7844408427876823,0.6607142857142857,0.8207547169811321,0.5196629213483146,280,1234,0.2839439275076015,0.8079089576034327,0.0216118784264461,CDR_worsen_3yr,CDR worsen 3yr,CN + MCI,341.0
0.8266672501312794,0.7868550616575155,0.16272494191450718,0.7743229689067201,0.7019704433497537,0.8240270727580372,0.7326478149100257,406,997,0.45909090909090916,0.82821346259325,0.022295839406795328,CDR_worsen_5yr,CDR worsen 5yr,CN + MCI,578.0
0.8677612994350283,0.948898741232701,0.12205860404563948,0.8198581560283688,0.8428030303030303,0.751412429378531,0.9100204498977505,528,705,0.660112124899649,0.8707786762503744,0.02441076165187163,CDR_worsen_10yr,CDR worsen 10yr,CN + MCI,870.0
0.7617370726691364,0.6169577978662383,0.18852626418061605,0.7053968253968254,0.7584973166368515,0.6761811023622047,0.5630810092961488,559,1575,0.36841703283557603,0.7639528504784951,0.027443456184958845,CDR_worsen_alltime,CDR worsen all-time,CN + MCI,
