rank,feature
1,FS_ST88SV
2,FS_ST31TA
3,APOE4_count
4,FS_ST40CV
5,FS_ST44TA
6,pT217_AB42_F
7,WMH_LEFT_HIPPO
8,FS_ST125SV
9,FS_ST85TS
10,FS_ST30SV
