rank,feature
1,AMY_SUMMARY_SUVR
2,FS_ST29SV
3,APOE4_count
4,GFAP_F
5,FS_ST89SV
6,FS_ST31TA
7,TAU_META_TEMPORAL_SUVR
8,FS_ST54SA
9,FS_ST57CV
10,FS_ST125SV
