rank,feature
1,FS_ST12SV
2,TAU_CTX_ENTORHINAL_SUVR
3,FS_ST99TA
4,NfL_F
5,FS_ST49TS
6,APOE4_count
7,FS_ST10CV
8,pT217_F
9,FS_ST72CV
10,FS_ST83CV
