rank,feature
1,FS_ST7SV
2,WMH_RIGHT_HIPPO
3,entry_age
4,FS_ST14SA
5,FS_ST62TA
6,FS_ST56TS
7,FS_ST60TS
8,FS_ST83TS
9,FS_ST54TA
10,FS_ST38CV
