step,feature,auc,gain,is_imaging
1,FS_ST7SV,0.6783913317802369,0.6783913317802369,True
2,WMH_RIGHT_HIPPO,0.7384247510885542,0.06003341930831729,True
3,entry_age,0.7830868486008266,0.04466209751227235,False
4,FS_ST14SA,0.7916895471059711,0.008602698505144502,True
5,FS_ST62TA,0.8000131735862661,0.008323626480295054,True
6,FS_ST56TS,0.8229882547078237,0.02297508112155755,True
7,FS_ST60TS,0.8238417644285437,0.0008535097207200693,True
8,FS_ST83TS,0.8366496103391852,0.012807845910641436,True
9,FS_ST54TA,0.8330809551543389,-0.003568655184846281,True
10,FS_ST38CV,0.8370184707546384,0.003937515600299535,True
11,FS_ST125SV,0.8367400920764346,-0.00027837867820379447,True
