rank,feature
1,NfL_F
2,FS_ST76SV
3,TAU_CTX_ENTORHINAL_SUVR
4,FS_ST39TA
5,FS_ST85SA
6,FS_ST25CV
7,pT217_F
8,PTEDUCAT
9,WMH_CEREBRUM_TCC
10,AMY_COMPOSITE_REF_SUVR
