rank,feature
1,FS_ST90TA
2,FS_ST29SV
3,AMY_SUMMARY_SUVR
4,FS_ST60TA
5,BSI_VENTVOL
6,FS_ST54SA
7,APOE4_count
8,TAU_META_TEMPORAL_SUVR
9,FS_ST90TS
10,FS_ST24TA
