rank,feature
1,FS_ST58TA
2,FS_ST90TS
3,FS_ST7SV
4,AB40_F
5,TAU_META_TEMPORAL_SUVR
6,FS_ST74CV
7,FS_ST76SV
8,NfL_F
9,PTEDUCAT
10,FS_ST119TA
