rank,feature
1,WMH_LEFT_HIPPO
2,NfL_F
3,FS_ST31TA
4,AMY_SUMMARY_SUVR
5,FS_ST57CV
6,FS_ST95SA
7,FS_ST29SV
8,PTHAND
9,entry_age
10,AB42_F
