rank,feature
1,AMY_SUMMARY_SUVR
2,NfL_F
3,FS_ST29SV
4,WMH_CEREBRUM_WHITE
5,FS_ST69SV
6,FS_ST83CV
7,FS_ST31TA
8,entry_age
9,WMH_CEREBRUM_TCC
10,APOE4_count
