rank,feature
1,FS_ST29SV
2,FS_ST90TA
3,TAU_CTX_ENTORHINAL_SUVR
4,FS_ST54SA
5,FS_ST7SV
6,APOE4_count
7,AMY_SUMMARY_SUVR
8,FS_ST38TS
9,FS_ST3SV
10,FS_ST13TS
