rank,feature
1,AMY_SUMMARY_SUVR
2,FS_ST29SV
3,FS_ST89SV
4,APOE4_count
5,GFAP_F
6,FS_ST32TA
7,TAU_META_TEMPORAL_SUVR
8,AB40_F
9,FS_ST44TA
10,FS_ST24CV
