rank,feature
1,FS_ST72TA
2,FS_ST94TS
3,FS_ST80SV
4,FS_ST82TS
5,FS_ST129TA
6,WMH_RIGHT_HIPPO
7,FS_ST119TS
8,FS_ST121CV
9,pT217_AB42_F
10,FS_ST38TS
