auc,ap,brier,accuracy,sensitivity,specificity,precision,n_events,n_total,best_cutoff,auc_cv_mean,auc_cv_std,target,label,cohort,population,window,n_censored
0.6945128221107406,0.21445032051090507,0.10538027438015453,0.4945054945054945,0.8955223880597015,0.4384133611691023,0.182370820668693,67,546,0.07889319629763193,0.7045032653749759,0.05629844759483034,CDR_worsen_3yr,CDR worsen 3yr,CN,CN (CDR=0 → ≥0.5),3,87.0
0.727912748171369,0.5389660425276293,0.1700659080534051,0.7289293849658315,0.5916666666666667,0.780564263322884,0.5035460992907801,120,439,0.31226053639846746,0.7376860119047619,0.07195615987972878,CDR_worsen_5yr,CDR worsen 5yr,CN,CN (CDR=0 → ≥0.5),5,194.0
0.7956349206349206,0.8853440673655828,0.1682368676529718,0.7330960854092526,0.7195767195767195,0.7608695652173914,0.8607594936708861,189,281,0.6714285714285714,0.7888938800296141,0.03817929640907394,CDR_worsen_10yr,CDR worsen 10yr,CN,CN (CDR=0 → ≥0.5),10,352.0
0.8230507570199427,0.32049141208024967,0.043697137195735716,0.793040293040293,0.7241379310344828,0.7969052224371374,0.16666666666666666,29,546,0.07407407407407407,0.8281095967139656,0.04827156131642019,CDR_worsen_sustained_3yr,Sustained 3yr,CN,CN (CDR=0 → ≥0.5),3,87.0
0.8249680306905371,0.3967622781414304,0.08094578998325111,0.7722095671981777,0.7916666666666666,0.7698209718670077,0.296875,48,439,0.12502133469875407,0.8235580078618053,0.04709543905426095,CDR_worsen_sustained_5yr,Sustained 5yr,CN,CN (CDR=0 → ≥0.5),5,194.0
0.7829607603674401,0.20319797073634305,0.059874513932293316,0.7564102564102564,0.7567567567567568,0.756385068762279,0.18421052631578946,37,546,0.0749874034244108,0.7897176692459162,0.1385037059599204,CDRSB_worsen_3yr,CDRSB worsen 3yr,CN,CN (CDR=0 → ≥0.5),3,87.0
0.7373209446380178,0.37626694766326646,0.11942384331322237,0.571753986332574,0.8428571428571429,0.5203252032520326,0.25,70,439,0.13945889240932516,0.7437113238483101,0.04421861878717152,CDRSB_worsen_5yr,CDRSB worsen 5yr,CN,CN (CDR=0 → ≥0.5),5,194.0
0.8374177743501339,0.7248257142233702,0.15311715183761185,0.75,0.8468085106382979,0.7014925373134329,0.5870206489675516,235,704,0.2958920986619628,0.8396269902695229,0.023670528617107868,CDR_worsen_3yr,CDR worsen 3yr,MCI,MCI (CDR=0.5 → ≥1),3,258.0
0.884473735220004,0.8948182924344384,0.1440221134930859,0.8194444444444444,0.7824675324675324,0.8619402985074627,0.8669064748201439,308,576,0.5121578889483839,0.8863388624848069,0.03474834122621004,CDR_worsen_5yr,CDR worsen 5yr,MCI,MCI (CDR=0.5 → ≥1),5,386.0
0.9348696725962019,0.9810160106262473,0.07336357186182908,0.8963963963963963,0.8975069252077562,0.891566265060241,0.972972972972973,361,444,0.6507936507936508,0.9381819237398157,0.02057209757452458,CDR_worsen_10yr,CDR worsen 10yr,MCI,MCI (CDR=0.5 → ≥1),10,518.0
0.838967367836654,0.5582548402085905,0.12339710297481978,0.7386363636363636,0.8413793103448276,0.7119856887298748,0.43109540636042404,145,704,0.2305470932686067,0.8412800115386322,0.058206036283464956,CDR_worsen_sustained_3yr,Sustained 3yr,MCI,MCI (CDR=0.5 → ≥1),3,258.0
0.7919886638556717,0.5891394877478577,0.17086625439824818,0.7222222222222222,0.7945945945945946,0.6879795396419437,0.5464684014869888,185,576,0.35805950756948524,0.7974223005868576,0.03810433311200492,CDR_worsen_sustained_5yr,Sustained 5yr,MCI,MCI (CDR=0.5 → ≥1),5,386.0
0.7835070404214498,0.8050333899363402,0.19178802366054554,0.7414772727272727,0.7931937172774869,0.6801242236024845,0.7463054187192119,382,704,0.444681861348528,0.7855449854421894,0.04402875399042442,CDRSB_worsen_3yr,CDRSB worsen 3yr,MCI,MCI (CDR=0.5 → ≥1),3,258.0
0.8007299270072992,0.906687889847618,0.15906220284011685,0.7152777777777778,0.6666666666666666,0.8363636363636363,0.9102990033222591,411,576,0.7105785296574769,0.8041874816338526,0.03959732145133279,CDRSB_worsen_5yr,CDRSB worsen 5yr,MCI,MCI (CDR=0.5 → ≥1),5,386.0
0.7408880090497738,0.658088572720315,0.17813223059136687,0.7109004739336493,0.5769230769230769,0.7764705882352941,0.5581395348837209,208,633,0.3226788432267884,0.7412598210015714,0.037395096039662803,CDR_worsen_alltime,CN all-time,CN,,99,
0.8021980272830308,0.7013645051313814,0.17574021580586058,0.7297297297297297,0.7560321715817694,0.7130730050933786,0.6252771618625277,373,962,0.4226433791651183,0.8030251959912977,0.010147132802146118,CDR_worsen_alltime,MCI all-time,MCI,,99,
0.8014904155140135,0.5681814586904702,0.14315517260349675,0.744,0.7483443708609272,0.7426160337552743,0.4808510638297872,302,1250,0.2389974933175095,0.8041528548146323,0.02756698947928782,CDR_worsen_3yr,Pooled 3yr,POOLED,,3,345.0
0.8365063127895684,0.800686383631541,0.16022330107727675,0.7773399014778325,0.7009345794392523,0.8330494037478705,0.7537688442211056,428,1015,0.47210197210197213,0.8393101752187286,0.027721784548591977,CDR_worsen_5yr,Pooled 5yr,POOLED,,5,580.0
