rank,feature
1,FS_ST29SV
2,AB42_F
3,FS_ST40TA
4,FS_ST103TA
5,FS_ST113SA
6,FS_ST30SV
7,FS_ST114TS
8,AMY_COMPOSITE_REF_SUVR
9,FS_ST25SA
10,APOE4_count
