step,feature,auc,gain,is_imaging
1,FS_ST88SV,0.6951219815782922,0.6951219815782922,True
2,FS_ST51TA,0.6948325865073437,-0.0002893950709484949,True
3,FS_ST82TS,0.7451008215085885,0.050268235001244777,True
4,FS_ST80SV,0.7782654966392831,0.033164675130694654,True
5,FS_ST130TA,0.7799470998257406,0.001681603186457492,True
6,FS_ST121CV,0.8021713965646005,0.02222429673885984,True
7,NfL_Q,0.8071440129449836,0.004972616380383155,False
8,FS_ST51SA,0.8242345033607169,0.017090490415733295,True
9,FS_ST119SA,0.8324937764500872,0.008259273089370245,True
10,FS_ST119TS,0.8272199402539208,-0.005273836196166393,True
11,FS_ST84TA,0.8208538710480457,-0.0063660692058750135,True
