rank,feature
1,FS_ST90TA
2,FS_ST29SV
3,FS_ST30SV
4,pT217_AB42_F
5,APOE4_count
6,FS_ST118CV
7,FS_ST34TS
8,FS_ST40CV
9,AMY_SUMMARY_SUVR
10,FS_ST85SA
