step,feature,auc,gain,is_imaging
1,FS_ST90TA,0.7027536609849231,0.7027536609849231,True
2,FS_ST29SV,0.7433160453489746,0.04056238436405146,True
3,AMY_SUMMARY_SUVR,0.7715052356020943,0.028189190253119722,True
4,FS_ST60TA,0.7830115537534936,0.011506318151399353,True
5,BSI_VENTVOL,0.7949506947998268,0.011939141046333202,True
6,FS_ST54SA,0.8030294158170295,0.008078721017202639,True
7,APOE4_count,0.8090335295043893,0.006004113687359869,False
8,TAU_META_TEMPORAL_SUVR,0.8127001732078888,0.0036666437034994503,True
9,FS_ST90TS,0.8186124670314531,0.005912293823564285,True
10,FS_ST24TA,0.8197014132189112,0.0010889461874581396,True
11,FS_ST94TS,0.823862437507381,0.004161024288469761,True
12,FS_ST82SA,0.8271569302838246,0.0032944927764436693,True
13,FS_ST54TS,0.826830394047947,-0.00032653623587763914,True
