step,feature,auc,gain,is_imaging
1,WMH_LEFT_HIPPO,0.7870546406347929,0.7870546406347929,True
2,NfL_F,0.886244781873937,0.09919014123914405,False
3,FS_ST31TA,0.8991346024711255,0.012889820597188573,True
4,AMY_SUMMARY_SUVR,0.9183487778673113,0.01921417539618575,True
5,FS_ST57CV,0.9326046143343183,0.01425583646700701,True
6,FS_ST95SA,0.9369201304951205,0.004315516160802169,True
7,FS_ST29SV,0.9441643723699524,0.007244241874831969,True
8,PTHAND,0.9512831274062137,0.007118755036261248,False
9,entry_age,0.9516545516608469,0.0003714242546332125,False
10,AB42_F,0.9539366774106902,0.0022821257498433223,False
11,FS_ST125SV,0.9518243855761483,-0.0021122918345418684,True
