step,feature,auc,gain,is_imaging
1,FS_ST29SV,0.6980661033045901,0.6980661033045901,True
2,AB42_F,0.7280128793903464,0.029946776085756355,False
3,FS_ST40TA,0.7539764593958672,0.025963580005520792,True
4,FS_ST103TA,0.7701365657368948,0.016160106341027602,True
5,FS_ST113SA,0.7777548191939638,0.007618253457069013,True
6,FS_ST30SV,0.7865389791129923,0.008784159919028478,True
7,FS_ST114TS,0.7897226950680898,0.003183715955097477,True
8,AMY_COMPOSITE_REF_SUVR,0.79528321596167,0.0055605208935801675,True
9,FS_ST25SA,0.794442370951417,-0.0008408450102529441,True
10,APOE4_count,0.7981126809046216,0.003670309953204609,False
11,FS_ST4SV,0.7986418638926863,0.0005291829880647025,True
12,FS_ST93TA,0.8013364801317102,0.002694616239023895,True
13,FS_ST109TS,0.8045782835585467,0.0032418034268364426,True
14,FS_ST105CV,0.8072600959895369,0.0026818124309901936,True
15,AMY_SUMMARY_SUVR,0.8081387198327986,0.000878623843261761,True
