rank,feature
1,FS_ST99TA
2,APOE4_count
3,FS_ST103TA
4,FS_ST52TA
5,AB42_F
6,FS_ST29SV
7,FS_ST93TA
8,FS_ST30SV
9,FS_ST98TA
10,FS_ST82SA
