step,feature,auc,gain,is_imaging
1,TAU_META_TEMPORAL_SUVR,0.6120232070561018,0.6120232070561018,True
2,FS_ST55CV,0.6491697994987469,0.037146592442645066,True
3,AMY_COMPOSITE_REF_SUVR,0.6732917630614998,0.02412196356275298,True
4,FS_ST7SV,0.6706275906111433,-0.00266417245035655,True
5,FS_ST62SA,0.6871182764603818,0.016490685849238518,True
6,FS_ST119SA,0.694846852708695,0.007728576248313135,True
7,FS_ST60TA,0.704998674571043,0.010151821862348087,True
8,FS_ST84TA,0.7213590466550992,0.016360372084056163,True
9,FS_ST46TS,0.7229782388663967,0.001619192211297471,True
10,FS_ST102SA,0.7349237275882012,0.011945488721804565,True
11,FS_ST17SV,0.735717418546366,0.0007936909581647278,True
12,PTEDUCAT,0.7477133940620784,0.01199597551571241,False
13,FS_ST3SV,0.7567981251204936,0.00908473105841523,True
14,FS_ST34TS,0.763607456140351,0.0068093310198573676,True
15,FS_ST14CV,0.7483481540389435,-0.015259302101407468,True
