rank,feature
1,AMY_CENTILOIDS
2,FS_ST90CV
3,GFAP_Q
4,FS_ST30SV
5,FS_ST23TS
6,FS_ST113TA
7,FS_ST44TA
8,FS_ST50TS
9,APOE4_count
10,FS_ST52TA
