rank,feature
1,AMY_SUMMARY_SUVR
2,FS_ST99TA
3,FS_ST25TS
4,FS_ST44TA
5,APOE4_count
6,FS_ST106TS
7,FS_ST109TS
8,FS_ST85SA
9,FS_ST30SV
10,FS_ST34TS
