step,feature,auc,gain,is_imaging
1,FS_ST99TA,0.7181604466647077,0.7181604466647077,True
2,APOE4_count,0.7441655758288143,0.026005129164106577,False
3,FS_ST103TA,0.7507355363805555,0.006569960551741194,True
4,FS_ST52TA,0.7673812767700514,0.016645740389495955,True
5,AB42_F,0.7755554368249049,0.008174160054853497,False
6,FS_ST29SV,0.7858360270349692,0.010280590210064333,True
7,FS_ST93TA,0.7939901512925316,0.008154124257562345,True
8,FS_ST30SV,0.7980917016180019,0.004101550325470327,True
9,FS_ST98TA,0.8040899740870355,0.0059982724690336164,True
10,FS_ST82SA,0.8026260251649614,-0.001463948922074132,True
11,FS_ST60TA,0.8010659044158898,-0.0015601207490716362,True
