Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
0.063,0.983,0.085,0.991,0.08,0.076,0.081,0.836,0.042,13.983,0.0,0.002,0.02,0.002,0.012,0.019,0.012,0.004,0.003,3.416
0.064,0.983,0.085,0.991,0.08,0.076,0.081,0.836,0.042,13.983,0.0,0.002,0.02,0.002,0.012,0.019,0.012,0.004,0.003,3.416
0.065,0.985,0.071,0.993,0.081,0.064,0.073,0.836,0.042,17.881,0.0,0.002,0.026,0.002,0.015,0.024,0.017,0.004,0.003,6.187
0.066,0.985,0.071,0.993,0.081,0.064,0.073,0.836,0.042,17.881,0.0,0.002,0.026,0.002,0.015,0.024,0.017,0.004,0.003,6.187
0.067,0.985,0.071,0.993,0.081,0.064,0.073,0.836,0.042,17.881,0.0,0.002,0.026,0.002,0.015,0.024,0.017,0.004,0.003,6.187
0.068,0.985,0.071,0.993,0.081,0.064,0.073,0.836,0.042,17.881,0.0,0.002,0.026,0.002,0.015,0.024,0.017,0.004,0.003,6.187
0.069,0.985,0.071,0.993,0.081,0.064,0.073,0.836,0.042,17.881,0.0,0.002,0.026,0.002,0.015,0.024,0.017,0.004,0.003,6.187
0.07,0.985,0.066,0.993,0.081,0.06,0.072,0.836,0.042,18.342,0.0,0.001,0.018,0.002,0.015,0.017,0.015,0.004,0.003,5.602
0.071,0.985,0.066,0.993,0.081,0.06,0.072,0.836,0.042,18.342,0.0,0.001,0.018,0.002,0.015,0.017,0.015,0.004,0.003,5.602
0.072,0.985,0.066,0.993,0.081,0.059,0.072,0.836,0.042,18.366,0.0,0.001,0.018,0.001,0.016,0.017,0.015,0.004,0.003,5.574
0.073,0.985,0.066,0.993,0.081,0.059,0.072,0.836,0.042,18.366,0.0,0.001,0.018,0.001,0.016,0.017,0.015,0.004,0.003,5.574
0.074,0.985,0.066,0.993,0.081,0.059,0.072,0.836,0.042,18.366,0.0,0.001,0.018,0.001,0.016,0.017,0.015,0.004,0.003,5.574
0.075,0.985,0.066,0.993,0.081,0.059,0.072,0.836,0.042,18.674,0.0,0.001,0.019,0.002,0.015,0.017,0.016,0.004,0.003,6.066
0.076,0.987,0.054,0.995,0.089,0.048,0.064,0.836,0.042,22.862,0.0,0.002,0.017,0.002,0.024,0.015,0.014,0.004,0.003,7.089
0.077,0.987,0.054,0.995,0.089,0.048,0.064,0.836,0.042,22.862,0.0,0.002,0.017,0.002,0.024,0.015,0.014,0.004,0.003,7.089
0.078,0.987,0.054,0.995,0.089,0.048,0.064,0.836,0.042,22.862,0.0,0.002,0.017,0.002,0.024,0.015,0.014,0.004,0.003,7.089
0.079,0.987,0.048,0.995,0.089,0.043,0.06,0.836,0.042,24.857,0.0,0.001,0.014,0.002,0.024,0.013,0.014,0.004,0.003,6.089
0.08,0.987,0.048,0.995,0.089,0.043,0.06,0.836,0.042,24.855,0.0,0.001,0.014,0.002,0.024,0.013,0.014,0.004,0.003,6.086
0.081,0.987,0.048,0.995,0.089,0.043,0.06,0.836,0.042,24.855,0.0,0.001,0.014,0.002,0.024,0.013,0.014,0.004,0.003,6.086
0.082,0.987,0.046,0.996,0.091,0.042,0.06,0.836,0.042,25.587,0.0,0.001,0.014,0.001,0.022,0.013,0.014,0.004,0.003,5.983
0.083,0.987,0.046,0.996,0.091,0.042,0.06,0.836,0.042,25.585,0.0,0.001,0.014,0.001,0.022,0.013,0.014,0.004,0.003,5.981
0.084,0.987,0.046,0.996,0.091,0.042,0.06,0.836,0.042,25.835,0.0,0.001,0.014,0.001,0.022,0.013,0.014,0.004,0.003,6.296
0.085,0.987,0.046,0.996,0.091,0.042,0.06,0.836,0.042,25.835,0.0,0.001,0.014,0.001,0.022,0.013,0.014,0.004,0.003,6.296
0.086,0.987,0.046,0.996,0.091,0.042,0.06,0.836,0.042,25.835,0.0,0.001,0.014,0.001,0.022,0.013,0.014,0.004,0.003,6.296
0.087,0.987,0.046,0.996,0.091,0.042,0.06,0.836,0.042,25.835,0.0,0.001,0.014,0.001,0.022,0.013,0.014,0.004,0.003,6.296
0.088,0.987,0.046,0.996,0.091,0.042,0.06,0.836,0.042,25.833,0.0,0.001,0.014,0.001,0.022,0.013,0.014,0.004,0.003,6.295
0.089,0.987,0.046,0.996,0.091,0.042,0.06,0.836,0.042,25.833,0.0,0.001,0.014,0.001,0.022,0.013,0.014,0.004,0.003,6.295
0.09,0.988,0.044,0.996,0.095,0.041,0.059,0.836,0.042,26.869,0.0,0.001,0.015,0.001,0.02,0.014,0.014,0.004,0.003,6.685
0.091,0.988,0.044,0.996,0.095,0.041,0.059,0.836,0.042,26.869,0.0,0.001,0.015,0.001,0.02,0.014,0.014,0.004,0.003,6.685
0.092,0.988,0.044,0.996,0.095,0.041,0.059,0.836,0.042,26.869,0.0,0.001,0.015,0.001,0.02,0.014,0.014,0.004,0.003,6.685
0.093,0.988,0.039,0.997,0.103,0.035,0.055,0.836,0.042,28.7,0.0,0.001,0.005,0.001,0.03,0.005,0.007,0.004,0.003,3.71
0.094,0.988,0.039,0.997,0.103,0.035,0.055,0.836,0.042,28.7,0.0,0.001,0.005,0.001,0.03,0.005,0.007,0.004,0.003,3.71
0.095,0.988,0.039,0.997,0.103,0.035,0.055,0.836,0.042,28.7,0.0,0.001,0.005,0.001,0.03,0.005,0.007,0.004,0.003,3.71
0.096,0.988,0.039,0.997,0.103,0.035,0.055,0.836,0.042,28.7,0.0,0.001,0.005,0.001,0.03,0.005,0.007,0.004,0.003,3.71
0.097,0.988,0.039,0.997,0.103,0.035,0.055,0.836,0.042,28.698,0.0,0.001,0.005,0.001,0.029,0.005,0.007,0.004,0.003,3.711
0.098,0.988,0.039,0.997,0.103,0.035,0.055,0.836,0.042,28.698,0.0,0.001,0.005,0.001,0.029,0.005,0.007,0.004,0.003,3.711
0.099,0.988,0.039,0.997,0.103,0.035,0.055,0.836,0.042,28.698,0.0,0.001,0.005,0.001,0.029,0.005,0.007,0.004,0.003,3.711
0.1,0.988,0.036,0.997,0.103,0.033,0.051,0.836,0.042,30.901,0.0,0.001,0.005,0.001,0.03,0.004,0.002,0.004,0.003,3.481
