Observed,Predicted
0.0002,0.0001
0.0002,0.0003
0.0007,0.0007
0.0018,0.0015
0.003,0.0029
0.0044,0.0046
0.0079,0.0074
0.0126,0.0122
0.0211,0.0211
0.0424,0.0439
