Features,Cover,Gain
21022-0.0,0.3255555555555556,1.910818296649642
34-0.0,0.15511111111111112,0.6068402597274172
400-0.0,0.25199999999999995,0.40679371028052697
137-0.0,0.2891111111111111,0.37138101279610375
400-0.1,0.27155555555555555,0.22252588524820063
20023-0.0,0.14155555555555555,0.11646200990879957
20008-0.2,0.08666666666666667,0.09502158028695812
30040-0.0,0.16844444444444442,0.0700871158351009
131287-0.0_c4,0.10622222222222222,0.0686288793822517
20110-1.1_pos,0.152,0.0545932498602685
131351-0.0_c8,0.09688888888888889,0.05260429911505152
30650-0.0,0.15955555555555556,0.05244124354954176
20008-0.4,0.03244444444444444,0.049528564888866464
131287-0.0_c6,0.11444444444444445,0.04694183090383658
131287-0.0_c8,0.02666666666666667,0.044041676678697454
46-0.0,0.1351111111111111,0.042198317273734604
404-0.5,0.09711111111111112,0.04117813184236661
23112-0.0,0.10044444444444445,0.04032247994919928
23115-0.0,0.104,0.038257228064408684
3526-0.0,0.13977777777777778,0.037652949287094464
30710-0.0,0.12155555555555556,0.03526862543938537
3064-0.2,0.10600000000000001,0.0340374037178744
20008-0.1,0.04644444444444445,0.03186654342931064
404-0.11,0.07355555555555555,0.029728156331552992
23111-0.0,0.08266666666666667,0.02889080285361471
20008-0.0,0.07777777777777778,0.0245676293221649
20008-0.3,0.03711111111111111,0.023443644294627326
3064-0.1,0.07822222222222222,0.022810555136471837
30620-0.0,0.10222222222222221,0.022081412199684437
20110-0.1_neg,0.062,0.021959308934078433
20110-2.0_pos,0.06466666666666666,0.0194218585222166
23116-0.0,0.05266666666666666,0.017106055505505133
23108-0.0,0.05622222222222222,0.01578785250442351
47-0.0,0.05044444444444444,0.015066926145655177
404-0.7,0.042222222222222223,0.014147216851573951
404-0.0,0.06288888888888888,0.01397385970183976
3063-0.2,0.04644444444444445,0.013767356182984854
23107-0.0,0.04777777777777778,0.012406641046092227
404-0.10,0.03933333333333333,0.01232809255020247
20008-0.5,0.04133333333333333,0.011208303520348881
30690-0.0,0.048,0.010868938886356585
3064-0.0,0.04577777777777778,0.010803715557165142
399-0.1,0.03511111111111111,0.010501044250866273
