Features,AUC_mean,AUC_std,AUC0,AUC1,AUC2,AUC3,AUC4
21022-0.0,0.7837855946624386,0.0026805497542213156,0.7875914428434494,0.7796738984866746,0.7855330138644833,0.7825938146506182,0.7835358034669675
400-0.0,0.8053510333082807,0.003220972692351106,0.808698182012102,0.8027069952385089,0.8066179839594299,0.8082475776667792,0.8004844276645835
137-0.0,0.8189799642474427,0.00313760568972721,0.8221625998035902,0.813300063070302,0.8207041873560037,0.8207007752331765,0.8180321957741401
400-0.1,0.824405408257058,0.002845541377016304,0.8262644443199121,0.8187404591463702,0.8259440047369303,0.8255284883953533,0.8255496446867243
20023-0.0,0.8273321598126258,0.002858510423929632,0.8304534778672955,0.8219241747020223,0.828113787200881,0.8278367216974665,0.8283326375954629
20008-0.2,0.8279985381785847,0.0031443980888648856,0.8315202018239082,0.8227792093771151,0.8266920166302347,0.8281640086775933,0.8308372543840723
30040-0.0,0.8301221177885812,0.0028530058366340134,0.8324939746131573,0.8251331534427155,0.8287191621914284,0.8323909961490352,0.8318733025465701
131287-0.0_c4,0.8319965508859299,0.0032437256886187625,0.8367796143300488,0.8275702788214088,0.8297658139210566,0.8316283076082057,0.8342387397489294
30650-0.0,0.8323003095568815,0.0027648358674332517,0.8364771360691203,0.828330572310961,0.8307329247741821,0.8320763012579513,0.8338846133721928
131351-0.0_c8,0.832995779693778,0.003199570661685726,0.837024024944853,0.8286768764545983,0.8301093310814528,0.8333743767269,0.8357942892610857
30710-0.0,0.8356894261552421,0.0036846715019685813,0.839294284051175,0.8305129110880667,0.8323508189676655,0.8365807383790864,0.8397083782902172
20110-1.1_pos,0.8372731137630888,0.003681885031091988,0.8430899162162785,0.8327030205426398,0.8345608520527157,0.8364843515584267,0.8395274284453834
3526-0.0,0.8380304105027088,0.003795434951101711,0.8441160340594228,0.8335475020269366,0.8349900733777014,0.8372296292341012,0.8402688138153824
3064-0.2,0.8379603283535,0.003793000928389433,0.8434774650758049,0.8339609484434214,0.8341472790393712,0.837067519504547,0.841148429704355
23108-0.0,0.8389514374463163,0.003986285630063317,0.8450757122113453,0.8343419717930064,0.8365838736906246,0.836664007734175,0.8420916218024299
20008-0.4,0.8395125911396077,0.0039690857564956845,0.8456106305313684,0.8348719500939267,0.8375878060943925,0.836897376598403,0.842595192379948
131287-0.0_c6,0.8404924286690655,0.004002374622601444,0.8466677000850988,0.8354192229593996,0.8385954330814865,0.8384090599950732,0.8433707272242694
20008-0.0,0.8404424559396372,0.003684664560621605,0.8451521452546434,0.8357712335175674,0.8386243231413187,0.8382506448488454,0.8444139329358105
20110-0.1_neg,0.8416402914883017,0.004114516541533971,0.8478716024297687,0.8360982580109237,0.8397636219146007,0.8399020332082935,0.8445659418779223
20008-0.1,0.8411795043297424,0.0036842183585394416,0.8463124587329356,0.8362855234201658,0.8387361605512709,0.8401404863615022,0.8444228925828372
20008-0.3,0.8407007260886266,0.0034625014046511284,0.845119041216674,0.8356271083759532,0.8398409144055318,0.8389290132815299,0.843987553163444
20110-2.0_pos,0.8409316954705641,0.0035014501231085543,0.8463432918113039,0.8362475749152125,0.8392331610975832,0.8395844798169602,0.8432499697117608
46-0.0,0.8410210315632701,0.0036763306564582122,0.8462488718640986,0.8359201092916942,0.8399860652067292,0.8389507853367887,0.84399932611704
20010-0.0,0.841100389944715,0.00375188340426668,0.8466118186612772,0.8365136103359285,0.8397149935151024,0.8384201550434718,0.8442413721677954
4080-0.0,0.8411539335431073,0.0038710306986717326,0.8466644122779149,0.8360090818520408,0.8409529048977757,0.8380686724970055,0.8440745961907989
30690-0.0,0.8414778965765433,0.0038725656244788767,0.8470909572422368,0.8363627890646774,0.8404999625400887,0.8388681938868973,0.8445675801488162
20008-0.5,0.8411684079337031,0.003971133978043723,0.8462602040654922,0.8360307085410039,0.8401838666449299,0.8381461909563357,0.8452210694607537
845-0.0,0.8415525162683378,0.003979533912497512,0.8477407454441839,0.8367251831481944,0.8406610441134266,0.8384297925956957,0.8442058160401883
