rank,feature
1,FS_ST52TA
2,FS_ST29SV
3,FS_ST40TA
4,FS_ST72CV
5,FS_ST26TA
6,FS_ST24TA
7,FS_ST129TA
8,FS_ST45TA
9,FS_ST40CV
10,FS_ST31CV
