k,c_index,n_imaging
3,0.6685611811989689,0
5,0.6506037415189498,0
10,0.7091722616673415,0
15,0.7110689761829542,0
20,0.7178914956971412,2
30,0.7321608095450024,12
48,0.7257150738210759,30
