step,feature_added,auc_mean
1,26555-0.0,0.7835093869972887
2,25888-0.0,0.8242276309055153
3,25928-0.0,0.8471232220408549
4,25736-0.0,0.8780060197128774
5,25033-0.0,0.8928686203983605
6,25161-0.0,0.8898676678470261
7,25280-0.0,0.8852958602625524
8,26631-0.0,0.8886112279942011
9,12651-0.0,0.8948104805306087
10,26580-0.0,0.8933563038115203
