Observed,Predicted
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0002,0.0002
0.0006,0.0008
0.0021,0.0015
0.0042,0.0037
0.0082,0.0066
0.0273,0.0191
