Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
0.039,0.997,0.032,0.998,0.038,0.03,0.033,0.842,0.012,36.947,0.0,0.001,0.009,0.001,0.013,0.009,0.007,0.005,0.001,14.19
0.04,0.997,0.032,0.998,0.038,0.03,0.033,0.842,0.012,36.947,0.0,0.001,0.009,0.001,0.013,0.009,0.007,0.005,0.001,14.19
0.041,0.997,0.032,0.998,0.038,0.03,0.033,0.842,0.012,36.947,0.0,0.001,0.009,0.001,0.013,0.009,0.007,0.005,0.001,14.19
0.042,0.997,0.032,0.998,0.038,0.03,0.033,0.842,0.012,36.947,0.0,0.001,0.009,0.001,0.013,0.009,0.007,0.005,0.001,14.19
0.043,0.997,0.032,0.998,0.038,0.03,0.033,0.842,0.012,36.947,0.0,0.001,0.009,0.001,0.013,0.009,0.007,0.005,0.001,14.19
0.044,0.997,0.024,0.999,0.049,0.023,0.029,0.842,0.012,69.712,0.0,0.001,0.013,0.001,0.013,0.012,0.012,0.005,0.001,59.634
0.045,0.997,0.024,0.999,0.049,0.023,0.029,0.842,0.012,69.712,0.0,0.001,0.013,0.001,0.013,0.012,0.012,0.005,0.001,59.634
0.046,0.998,0.018,0.999,0.056,0.017,0.025,0.842,0.012,83.602,0.0,0.0,0.009,0.0,0.013,0.009,0.011,0.005,0.001,55.267
0.047,0.998,0.018,0.999,0.056,0.017,0.025,0.842,0.012,83.602,0.0,0.0,0.009,0.0,0.013,0.009,0.011,0.005,0.001,55.267
0.048,0.998,0.018,0.999,0.056,0.017,0.025,0.842,0.012,83.602,0.0,0.0,0.009,0.0,0.013,0.009,0.011,0.005,0.001,55.267
0.049,0.998,0.018,0.999,0.056,0.017,0.025,0.842,0.012,83.602,0.0,0.0,0.009,0.0,0.013,0.009,0.011,0.005,0.001,55.267
0.05,0.998,0.018,0.999,0.056,0.017,0.025,0.842,0.012,83.594,0.0,0.0,0.009,0.0,0.013,0.009,0.011,0.005,0.001,55.27
0.051,0.998,0.017,0.999,0.057,0.016,0.024,0.842,0.012,89.758,0.0,0.0,0.009,0.0,0.01,0.009,0.011,0.005,0.001,54.436
0.052,0.998,0.017,0.999,0.057,0.016,0.024,0.842,0.012,89.758,0.0,0.0,0.009,0.0,0.01,0.009,0.011,0.005,0.001,54.436
0.053,0.998,0.01,1.0,0.034,0.01,0.015,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.03,0.01,0.014,0.005,0.001,
0.054,0.998,0.01,1.0,0.034,0.01,0.015,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.03,0.01,0.014,0.005,0.001,
0.055,0.998,0.01,1.0,0.034,0.01,0.015,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.03,0.01,0.014,0.005,0.001,
0.056,0.998,0.01,1.0,0.034,0.01,0.015,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.03,0.01,0.014,0.005,0.001,
0.057,0.998,0.01,1.0,0.034,0.01,0.015,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.03,0.01,0.014,0.005,0.001,
0.058,0.998,0.01,1.0,0.034,0.01,0.015,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.03,0.01,0.014,0.005,0.001,
0.059,0.998,0.009,1.0,0.031,0.009,0.013,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.03,0.01,0.014,0.005,0.001,
0.06,0.998,0.009,1.0,0.031,0.009,0.013,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.03,0.01,0.014,0.005,0.001,
0.061,0.998,0.009,1.0,0.031,0.009,0.013,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.03,0.01,0.014,0.005,0.001,
0.062,0.998,0.009,1.0,0.031,0.009,0.013,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.03,0.01,0.014,0.005,0.001,
0.063,0.998,0.009,1.0,0.031,0.009,0.013,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.03,0.01,0.014,0.005,0.001,
0.064,0.998,0.009,1.0,0.031,0.009,0.013,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.03,0.01,0.014,0.005,0.001,
0.065,0.998,0.009,1.0,0.031,0.009,0.013,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.03,0.01,0.014,0.005,0.001,
0.066,0.998,0.009,1.0,0.032,0.009,0.013,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.03,0.01,0.014,0.005,0.001,
0.067,0.998,0.009,1.0,0.032,0.009,0.013,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.03,0.01,0.014,0.005,0.001,
0.068,0.998,0.009,1.0,0.032,0.009,0.013,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.03,0.01,0.014,0.005,0.001,
0.069,0.998,0.009,1.0,0.032,0.009,0.013,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.03,0.01,0.014,0.005,0.001,
0.07,0.998,0.009,1.0,0.032,0.009,0.013,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.03,0.01,0.014,0.005,0.001,
0.071,0.998,0.009,1.0,0.032,0.009,0.013,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.03,0.01,0.014,0.005,0.001,
0.072,0.998,0.009,1.0,0.032,0.009,0.013,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.03,0.01,0.014,0.005,0.001,
0.073,0.998,0.009,1.0,0.032,0.009,0.013,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.03,0.01,0.014,0.005,0.001,
0.074,0.998,0.009,1.0,0.032,0.009,0.013,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.03,0.01,0.014,0.005,0.001,
0.075,0.998,0.009,1.0,0.032,0.009,0.013,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.03,0.01,0.014,0.005,0.001,
0.076,0.998,0.009,1.0,0.032,0.009,0.013,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.03,0.01,0.014,0.005,0.001,
0.077,0.998,0.009,1.0,0.034,0.009,0.014,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.032,0.01,0.015,0.005,0.001,
0.078,0.998,0.009,1.0,0.034,0.009,0.014,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.032,0.01,0.015,0.005,0.001,
0.079,0.998,0.009,1.0,0.034,0.009,0.014,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.032,0.01,0.015,0.005,0.001,
0.08,0.998,0.009,1.0,0.034,0.009,0.014,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.032,0.01,0.015,0.005,0.001,
0.081,0.998,0.009,1.0,0.034,0.009,0.014,0.842,0.012,inf,0.0,0.0,0.01,0.0,0.032,0.01,0.015,0.005,0.001,
