Observed,Predicted
0.0,0.0
0.0001,0.0001
0.0001,0.0002
0.0003,0.0003
0.0005,0.0005
0.001,0.0008
0.0015,0.0014
0.0023,0.0024
0.0043,0.005
0.0109,0.0126
