step,feature,auc
1,MMSE_MMSCORE,0.9798693984251752
2,TAU_META_TEMPORAL_SUVR,0.9865667719512341
3,GDS_GDTOTAL,0.985863076223634
4,HACH_HMSCORE,0.9897783204376831
5,FS_ST89SV,0.991270572792485
6,FS_ST111TA,0.992596536206098
7,sex,0.9926020132255193
8,pT217_F,0.9927164230251879
9,FS_ST45TS,0.9932274924326718
10,FS_ST73TA,0.9931745578817293
11,PTMARRY,0.9931539735523799
