step,feature,auc
1,MMSE_MMSCORE,0.9444324823186744
2,HACH_HMSCORE,0.9470265043371544
3,AB40_F,0.9446056805766403
4,FS_ST31TA,0.9549361271222571
5,FS_ST84TS,0.9557388421769846
6,AMY_COMPOSITE_REF_SUVR,0.9559981135669062
7,FS_ST25SA,0.9567287904180164
8,PTMARRY,0.956519297926852
9,FS_ST13CV,0.9565397537564101
10,FS_ST113TA,0.9568567016906335
11,PTEDUCAT,0.9579402255240644
12,entry_age,0.9581332660745664
