step,feature,auc
1,NB_LDELTOTAL,0.911092872520971
2,GDS_GDTOTAL,0.9244611239133006
3,FS_ST73TS,0.9250543744040142
4,PTWORKHS,0.9341107053196251
5,PTEDUCAT,0.9394354468286927
6,FS_ST89SV,0.9420001744771096
7,AMY_COMPOSITE_REF_SUVR,0.9426602001510712
8,NfL_Q,0.9442609502688561
9,FS_ST13TS,0.9447426324094584
10,pT217_F,0.9447856582036088
11,FS_ST29SV,0.9449035083414549
