step,feature,auc
1,NB_LDELTOTAL,0.884995187899197
2,GDS_GDTOTAL,0.9022500064933011
3,FS_ST89SV,0.903484368930175
4,PTWORKHS,0.9147421510104706
5,PTEDUCAT,0.9223837713206132
6,ADAS_TOTAL13,0.9250957479605388
7,pT217_F,0.9273695467562856
8,AMY_COMPOSITE_REF_SUVR,0.9292056688213133
9,FS_ST46TS,0.9299059007733239
10,NfL_Q,0.9308605854360336
11,FS_ST62CV,0.9302119469965942
