fold,auc,hl_p,time
0,0.8528555804446816,,3.466433048248291
1,0.8285892109744623,,3.5238451957702637
2,0.8130704047655916,,3.5838449001312256
3,0.8276293833117201,,3.388680934906006
4,0.8356756928898644,,3.348273277282715
