Observed,Predicted
0.0,0.0
0.0002,0.0001
0.0002,0.0003
0.0006,0.0006
0.001,0.001
0.0018,0.0014
0.0024,0.0025
0.0053,0.005
0.008,0.0086
0.0173,0.0179
