Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
0.064,0.996,0.002,1.0,0.01,0.001,0.003,0.832,0.017,inf,0.0,0.0,0.002,0.0,0.013,0.002,0.004,0.013,0.001,
0.065,0.996,0.002,1.0,0.01,0.001,0.003,0.832,0.017,inf,0.0,0.0,0.002,0.0,0.013,0.002,0.004,0.013,0.001,
0.066,0.996,0.002,1.0,0.01,0.001,0.003,0.832,0.017,inf,0.0,0.0,0.002,0.0,0.013,0.002,0.004,0.013,0.001,
0.067,0.996,0.002,1.0,0.01,0.002,0.003,0.832,0.017,inf,0.0,0.0,0.002,0.0,0.013,0.002,0.004,0.013,0.001,
0.068,0.996,0.002,1.0,0.01,0.002,0.003,0.832,0.017,inf,0.0,0.0,0.002,0.0,0.013,0.002,0.004,0.013,0.001,
0.069,0.996,0.002,1.0,0.01,0.002,0.003,0.832,0.017,inf,0.0,0.0,0.002,0.0,0.013,0.002,0.004,0.013,0.001,
0.07,0.996,0.002,1.0,0.01,0.002,0.003,0.832,0.017,inf,0.0,0.0,0.002,0.0,0.013,0.002,0.004,0.013,0.001,
0.071,0.996,0.002,1.0,0.01,0.002,0.003,0.832,0.017,inf,0.0,0.0,0.002,0.0,0.013,0.002,0.004,0.013,0.001,
0.072,0.996,0.002,1.0,0.01,0.002,0.003,0.832,0.017,inf,0.0,0.0,0.002,0.0,0.013,0.002,0.004,0.013,0.001,
0.073,0.996,0.002,1.0,0.01,0.002,0.003,0.832,0.017,inf,0.0,0.0,0.002,0.0,0.013,0.002,0.004,0.013,0.001,
0.074,0.996,0.002,1.0,0.01,0.002,0.003,0.832,0.017,inf,0.0,0.0,0.002,0.0,0.013,0.002,0.004,0.013,0.001,
0.075,0.996,0.002,1.0,0.01,0.002,0.003,0.832,0.017,inf,0.0,0.0,0.002,0.0,0.013,0.002,0.004,0.013,0.001,
0.076,0.996,0.002,1.0,0.01,0.002,0.003,0.832,0.017,inf,0.0,0.0,0.002,0.0,0.013,0.002,0.004,0.013,0.001,
0.077,0.996,0.002,1.0,0.01,0.002,0.003,0.832,0.017,inf,0.0,0.0,0.002,0.0,0.013,0.002,0.004,0.013,0.001,
0.078,0.996,0.002,1.0,0.01,0.002,0.003,0.832,0.017,inf,0.0,0.0,0.002,0.0,0.013,0.002,0.004,0.013,0.001,
0.079,0.996,0.002,1.0,0.01,0.002,0.003,0.832,0.017,inf,0.0,0.0,0.002,0.0,0.013,0.002,0.004,0.013,0.001,
0.08,0.996,0.002,1.0,0.01,0.002,0.003,0.832,0.017,inf,0.0,0.0,0.002,0.0,0.013,0.002,0.004,0.013,0.001,
0.081,0.996,0.002,1.0,0.01,0.002,0.003,0.832,0.017,inf,0.0,0.0,0.002,0.0,0.013,0.002,0.004,0.013,0.001,
0.082,0.996,0.002,1.0,0.01,0.002,0.003,0.832,0.017,inf,0.0,0.0,0.002,0.0,0.013,0.002,0.004,0.013,0.001,
0.083,0.996,0.002,1.0,0.01,0.002,0.003,0.832,0.017,inf,0.0,0.0,0.002,0.0,0.013,0.002,0.004,0.013,0.001,
0.084,0.996,0.001,1.0,0.006,0.0,0.001,0.832,0.017,inf,0.0,0.0,0.001,0.0,0.013,0.001,0.002,0.013,0.001,
0.085,0.996,0.001,1.0,0.006,0.0,0.001,0.832,0.017,inf,0.0,0.0,0.001,0.0,0.013,0.001,0.002,0.013,0.001,
0.086,0.996,0.001,1.0,0.006,0.0,0.001,0.832,0.017,inf,0.0,0.0,0.001,0.0,0.013,0.001,0.002,0.013,0.001,
0.087,0.996,0.001,1.0,0.006,0.0,0.001,0.832,0.017,inf,0.0,0.0,0.001,0.0,0.013,0.001,0.002,0.013,0.001,
0.088,0.996,0.001,1.0,0.006,0.0,0.001,0.832,0.017,inf,0.0,0.0,0.001,0.0,0.013,0.001,0.002,0.013,0.001,
0.089,0.996,0.001,1.0,0.006,0.0,0.001,0.832,0.017,inf,0.0,0.0,0.001,0.0,0.013,0.001,0.002,0.013,0.001,
0.09,0.996,0.001,1.0,0.006,0.0,0.001,0.832,0.017,inf,0.0,0.0,0.001,0.0,0.013,0.001,0.002,0.013,0.001,
