auc,ap,brier,accuracy,sensitivity,specificity,n_events,n_total,best_cutoff,auc_cv_mean,auc_cv_std,target,label,model,n_features
0.9348136985365686,0.8515900465076554,0.07385686413974478,0.8833640270104358,0.8418230563002681,0.8957006369426752,373,1629,0.3225806451612903,0.9387019575067385,0.0158107630932929,AD_vs_CN,AD vs CN,Biomarkers + Imaging (No cognitive tests),358
0.8715292600877718,0.634234278290061,0.1167841105775632,0.7679558011049724,0.8739946380697051,0.7364649681528662,373,1629,0.1832820149636363,0.8720853574120507,0.020485732156700322,AD_vs_CN,AD vs CN,Demographics + Biomarkers only,20
0.9813922661839791,0.952731153091541,0.03346303154458391,0.9343155310006138,0.9463806970509383,0.9307324840764332,373,1629,0.14285714285714285,0.9814964611737519,0.007747393419930052,AD_vs_CN,AD vs CN,Full (incl. cognitive tests),368
0.8416899107247633,0.4505132302485695,0.09276484476972208,0.7824663514005092,0.7158176943699732,0.7929292929292929,373,2749,0.1232876712328767,0.8454453222882325,0.01652594531392272,AD_vs_MCI+CN,AD vs All Others,Biomarkers + Imaging (No cognitive tests),358
0.7704344607829863,0.30376664455308866,0.10490933723016406,0.6780647508184795,0.7560321715817694,0.6658249158249159,373,2749,0.16326530612244897,0.7695307574978784,0.018233032508252898,AD_vs_MCI+CN,AD vs All Others,Demographics + Biomarkers only,20
0.9364884321318637,0.7537581097134386,0.05825734319020602,0.8617679156056748,0.8847184986595175,0.8581649831649831,373,2749,0.16216216216216217,0.936572736292241,0.011922938828339315,AD_vs_MCI+CN,AD vs All Others,Full (incl. cognitive tests),368
0.7929725662433179,0.8272605345268106,0.18779670477200325,0.7188068388504911,0.6898861352980576,0.7531847133757962,1493,2749,0.6153846153846154,0.7937508253813503,0.015423291863106396,Dementia_vs_CN,Dementia vs CN,Biomarkers + Imaging (No cognitive tests),358
0.7242340583017991,0.7378334993174592,0.21978076398133534,0.663150236449618,0.6128600133958473,0.7229299363057324,1493,2749,0.6666666666666666,0.725817119374768,0.01446703468785796,Dementia_vs_CN,Dementia vs CN,Demographics + Biomarkers only,20
0.9200771327767372,0.9308700780911077,0.11231746056753268,0.8544925427428156,0.8747488278633624,0.8304140127388535,1493,2749,0.5217391304347827,0.9201940774958741,0.01214313877953449,Dementia_vs_CN,Dementia vs CN,Full (incl. cognitive tests),368
0.7415292311191992,0.7348301620742428,0.20647459239162697,0.6881313131313131,0.61875,0.75,1120,2376,0.5575757575757575,0.7424452064192211,0.022279203374903942,MCI_vs_CN,MCI vs CN,Biomarkers + Imaging (No cognitive tests),358
0.6867638904686079,0.6421508379372813,0.22860949406212133,0.6430976430976431,0.725,0.5700636942675159,1120,2376,0.5643153526970954,0.6887305299775953,0.00898232226529087,MCI_vs_CN,MCI vs CN,Demographics + Biomarkers only,20
0.902367919699727,0.8965539184610334,0.12700494556574518,0.8291245791245792,0.8017857142857143,0.8535031847133758,1120,2376,0.6376811594202898,0.9040032542731569,0.01536366762267419,MCI_vs_CN,MCI vs CN,Full (incl. cognitive tests),368
