rank,feature
1,PTWORKHS
2,FS_ST12SV
3,AMY_CENTILOIDS
4,FS_ST129SA
5,FS_ST72SA
6,FS_ST14TS
7,NfL_Q
8,APOE4_count
9,FS_ST93TA
10,FS_ST102CV
