rank,feature
1,AMY_CENTILOIDS
2,FS_ST24TA
3,FS_ST84CV
4,AMY_COMPOSITE_REF_SUVR
5,FS_ST103TA
6,FS_ST31TA
7,pT217_AB42_F
8,FS_ST34CV
9,FS_ST69SV
10,APOE4_count
