rank,feature
1,FS_ST40TA
2,AMY_SUMMARY_SUVR
3,FS_ST44TA
4,FS_ST29SV
5,FS_ST55TS
6,FS_ST74SA
7,APOE4_count
8,WMH_CEREBRUM_WHITE
9,FS_ST113TA
10,entry_age
