step,feature,auc,gain,is_imaging
1,NfL_F,0.7409940750493746,0.7409940750493746,False
2,FS_ST31TA,0.8452849096627897,0.10429083461341504,True
3,AMY_CENTILOIDS,0.8645475824738498,0.01926267281106009,True
4,AB42_F,0.9002282203203862,0.03568063784653641,False
5,WMH_CEREBRUM_TCB,0.9074434935264429,0.007215273206056749,True
6,FS_ST66SV,0.9188369541364934,0.011393460610050421,True
7,GFAP_Q,0.9227759490893132,0.0039389949528197965,False
8,FS_ST129TA,0.9296320678809158,0.006856118791602639,True
9,FS_ST71SV,0.9357237948943018,0.006091727013386006,True
10,WMH_RIGHT_HIPPO,0.937467632214176,0.001743837319874153,True
11,FS_ST84TS,0.9360997732426304,-0.0013678589715455658,True
