step,feature,auc,gain,is_imaging
1,AMY_CENTILOIDS,0.7496242996526625,0.7496242996526625,True
2,FS_ST24TA,0.8021680626745816,0.0525437630219191,True
3,FS_ST84CV,0.8152969046053716,0.013128841930790003,True
4,AMY_COMPOSITE_REF_SUVR,0.8395252053931997,0.024228300787828116,True
5,FS_ST103TA,0.8457826597651706,0.006257454371970894,True
6,FS_ST31TA,0.8542247744052501,0.00844211464007949,True
7,pT217_AB42_F,0.8566259791287282,0.0024012047234780454,False
8,FS_ST34CV,0.859275517466745,0.0026495383380168436,True
9,FS_ST69SV,0.8625718932763423,0.003296375809597296,True
10,APOE4_count,0.8632911007808465,0.0007192075045041602,False
11,FS_ST34TA,0.8632951734133378,4.0726324913586964e-06,True
