rank,feature
1,PTWORKHS
2,APOE4_count
3,pT217_AB42_F
4,NfL_Q
5,PTHAND
6,AB40_F
7,GFAP_F
8,PTGENDER
9,PTEDUCAT
10,PTMARRY
