rank,feature
1,NfL_F
2,FS_ST31TA
3,AMY_CENTILOIDS
4,AB42_F
5,WMH_CEREBRUM_TCB
6,FS_ST66SV
7,GFAP_Q
8,FS_ST129TA
9,FS_ST71SV
10,WMH_RIGHT_HIPPO
