Observed,Predicted
0.0002,0.0002
0.0009,0.0008
0.0017,0.0016
0.0038,0.0033
0.0061,0.0057
0.0092,0.0098
0.0171,0.0174
0.0277,0.0279
0.0459,0.046
0.0907,0.0935
