Observed,Predicted
0.0007,0.0006
0.0011,0.0012
0.0024,0.0019
0.0039,0.0034
0.0062,0.007
0.011,0.0103
0.0161,0.0173
0.0282,0.028
0.0469,0.0468
0.0948,0.0978
