Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
0.051,0.885,0.487,0.893,0.082,0.38,0.141,0.831,0.088,2.638,0.0,0.006,0.021,0.007,0.003,0.016,0.004,0.005,0.003,0.112
0.052,0.886,0.485,0.894,0.083,0.379,0.141,0.831,0.088,2.642,0.0,0.007,0.022,0.007,0.003,0.017,0.004,0.005,0.003,0.115
0.053,0.891,0.471,0.899,0.084,0.369,0.142,0.831,0.088,2.711,0.0,0.004,0.017,0.004,0.002,0.014,0.004,0.005,0.003,0.102
0.054,0.891,0.469,0.899,0.084,0.368,0.142,0.831,0.088,2.718,0.0,0.004,0.015,0.004,0.002,0.013,0.004,0.005,0.003,0.092
0.055,0.891,0.469,0.899,0.084,0.368,0.142,0.831,0.088,2.718,0.0,0.004,0.015,0.004,0.002,0.013,0.004,0.005,0.003,0.092
0.056,0.891,0.469,0.9,0.084,0.368,0.143,0.831,0.088,2.719,0.0,0.004,0.015,0.004,0.003,0.013,0.004,0.005,0.003,0.092
0.057,0.896,0.453,0.905,0.086,0.358,0.144,0.831,0.088,2.808,0.0,0.011,0.035,0.012,0.005,0.024,0.005,0.005,0.003,0.197
0.058,0.901,0.436,0.91,0.088,0.346,0.146,0.831,0.088,2.915,0.0,0.011,0.045,0.012,0.004,0.033,0.004,0.005,0.003,0.286
0.059,0.901,0.436,0.91,0.088,0.346,0.146,0.831,0.088,2.915,0.0,0.011,0.045,0.012,0.004,0.033,0.004,0.005,0.003,0.286
0.06,0.907,0.415,0.917,0.09,0.332,0.148,0.831,0.088,3.047,0.0,0.013,0.049,0.014,0.005,0.035,0.005,0.005,0.003,0.305
0.061,0.918,0.38,0.929,0.095,0.309,0.152,0.831,0.088,3.241,0.0,0.004,0.019,0.005,0.004,0.016,0.005,0.005,0.003,0.159
0.062,0.922,0.366,0.933,0.097,0.299,0.153,0.831,0.088,3.349,0.0,0.005,0.014,0.005,0.004,0.01,0.004,0.005,0.003,0.106
0.063,0.922,0.366,0.933,0.097,0.299,0.153,0.831,0.088,3.349,0.0,0.005,0.014,0.005,0.004,0.01,0.004,0.005,0.003,0.106
0.064,0.922,0.366,0.933,0.097,0.299,0.153,0.831,0.088,3.349,0.0,0.005,0.014,0.005,0.004,0.01,0.004,0.005,0.003,0.106
0.065,0.922,0.366,0.933,0.097,0.299,0.153,0.831,0.088,3.349,0.0,0.005,0.014,0.005,0.004,0.01,0.004,0.005,0.003,0.106
0.066,0.922,0.366,0.933,0.097,0.299,0.153,0.831,0.088,3.349,0.0,0.005,0.014,0.005,0.004,0.01,0.004,0.005,0.003,0.106
0.067,0.923,0.362,0.934,0.097,0.295,0.153,0.831,0.088,3.392,0.0,0.006,0.019,0.006,0.004,0.013,0.004,0.005,0.003,0.151
0.068,0.923,0.36,0.935,0.098,0.294,0.154,0.831,0.088,3.402,0.0,0.005,0.016,0.005,0.004,0.012,0.004,0.005,0.003,0.135
0.069,0.931,0.331,0.943,0.103,0.274,0.156,0.831,0.088,3.686,0.0,0.007,0.034,0.008,0.004,0.026,0.002,0.005,0.003,0.356
0.07,0.932,0.325,0.944,0.103,0.269,0.156,0.831,0.088,3.772,0.0,0.008,0.04,0.009,0.004,0.031,0.002,0.005,0.003,0.436
0.071,0.934,0.315,0.947,0.104,0.262,0.156,0.831,0.088,3.851,0.0,0.006,0.029,0.006,0.003,0.023,0.003,0.005,0.003,0.353
0.072,0.936,0.309,0.948,0.105,0.257,0.157,0.831,0.088,3.911,0.0,0.005,0.025,0.005,0.003,0.02,0.003,0.005,0.003,0.312
0.073,0.936,0.309,0.948,0.105,0.257,0.157,0.831,0.088,3.911,0.0,0.005,0.025,0.005,0.003,0.02,0.003,0.005,0.003,0.312
