Features,Cover,Gain,NA_full,NA_target,Path,Field,ValueType,Units
30120-0.0,0.004222222222222222,0.0008477405185674804,5.0,6.2,,30120-0.0,,
23119-0.0,0.004,0.0008328649647623888,2.0,3.7,,23119-0.0,,
30110-0.0,0.0037777777777777775,0.0008222043301417633,4.8,6.1,,30110-0.0,,
30210-0.0,0.004666666666666666,0.0008211077408797855,5.0,6.2,,30210-0.0,,
4501-0.0_c2,0.0037777777777777775,0.0007995646350530982,0.0,0.0,,4501-0.0_c2,,
1100-0.0_c1,0.004666666666666666,0.0007985684312529948,0.0,0.0,,1100-0.0_c1,,
22037-0.0,0.0037777777777777775,0.0007942295302056635,23.2,32.4,,22037-0.0,,
2000-0.0_c1,0.004,0.0007917845528244882,0.0,0.0,,2000-0.0_c1,,
30880-0.0,0.0037777777777777775,0.0007753445443391805,6.6,7.9,,30880-0.0,,
30760-0.0,0.0035555555555555553,0.0007583545209228951,14.4,15.2,,30760-0.0,,
1309-0.0,0.0022222222222222222,0.0007524923806794049,0.6,1.2,,1309-0.0,,
3591-0.0_c1,0.0028888888888888888,0.000730515310448153,0.0,0.0,,3591-0.0_c1,,
1578-0.0,0.0035555555555555557,0.0007159918723532823,31.4,38.5,,1578-0.0,,
1150-0.0_c0,0.0031111111111111114,0.0007092137914499132,0.0,0.0,,1150-0.0_c0,,
6145-0.1_pos,0.0037777777777777775,0.0006490254909549079,0.0,0.0,,6145-0.1_pos,,
30290-0.0,0.003777777777777778,0.0006319614776606553,6.5,7.3,,30290-0.0,,
6148-0.0_pos,0.0024444444444444444,0.0006316207504094098,0.0,0.0,,6148-0.0_pos,,
23106-0.0,0.003111111111111111,0.0006281881306955124,2.0,3.7,,23106-0.0,,
4570-0.0_c4,0.003333333333333333,0.000620927685431942,0.0,0.0,,4570-0.0_c4,,
4642-0.0_c2,0.0026666666666666666,0.0006200055693684772,0.0,0.0,,4642-0.0_c2,,
1548-0.0_c0,0.003333333333333333,0.0005847113062833003,0.0,0.0,,1548-0.0_c0,,
3637-0.0_c3,0.0028888888888888888,0.0005660638781375793,0.0,0.0,,3637-0.0_c3,,
1299-0.0,0.003333333333333333,0.0005574867345725854,1.5,3.0,,1299-0.0,,
981-0.0_c0,0.002,0.0005419633017427659,0.0,0.0,,981-0.0_c0,,
2070-0.0_c0,0.002666666666666667,0.0005365380932028105,0.0,0.0,,2070-0.0_c0,,
23110-0.0,0.0017777777777777779,0.0005202629090062801,2.0,3.7,,23110-0.0,,
22033-0.0,0.0024444444444444444,0.000513019560765779,23.2,32.4,,22033-0.0,,
2010-0.0_c1,0.0024444444444444444,0.0005067544913240307,0.0,0.0,,2010-0.0_c1,,
102-0.0,0.0024444444444444444,0.0005002752747878382,6.8,8.1,,102-0.0,,
20011-0.0,0.0028888888888888888,0.00048553064528617944,22.9,17.5,,20011-0.0,,
2080-0.0_c0,0.0024444444444444444,0.00048081004966853304,0.0,0.0,,2080-0.0_c0,,
1608-0.0,0.0022222222222222222,0.00048025556836598163,31.2,38.3,,1608-0.0,,
6153-0.4_pos,0.0024444444444444444,0.00047379264375744655,0.0,0.0,,6153-0.4_pos,,
3476-0.0_c4,0.0013333333333333333,0.0004714472140763986,0.0,0.0,,3476-0.0_c4,,
30260-0.0,0.0022222222222222222,0.0004687254311235214,6.5,7.3,,30260-0.0,,
6160-0.0_pos,0.0024444444444444444,0.0004653426171384267,0.0,0.0,,6160-0.0_pos,,
30000-0.0,0.0017777777777777779,0.00045703914509950653,4.8,6.1,,30000-0.0,,
20107-0.1_neg,0.0017777777777777779,0.0004564357051767376,0.0,0.0,,20107-0.1_neg,,
20008-0.0,0.0022222222222222227,0.0004375433193474806,28.8,17.6,,20008-0.0,,
92-0.0,0.002,0.00043280897066922763,22.9,17.5,,92-0.0,,
30780-0.0,0.002,0.00042901151543547623,6.7,7.9,,30780-0.0,,
21002-0.0,0.0022222222222222222,0.0004274796389335932,0.5,1.0,,21002-0.0,,
30600-0.0,0.0022222222222222222,0.00042090610711541015,14.4,15.2,,30600-0.0,,
30080-0.0,0.0022222222222222222,0.0004174598256457293,4.8,6.1,,30080-0.0,,
30610-0.0,0.0024444444444444444,0.000415635229030004,6.5,7.8,,30610-0.0,,
4537-0.0_c1,0.0022222222222222222,0.00039528471844012166,0.0,0.0,,4537-0.0_c1,,
1100-0.0_c0,0.0024444444444444444,0.00038583465835384675,0.0,0.0,,1100-0.0_c0,,
6155-0.1_pos,0.0022222222222222222,0.00037494729758678544,0.0,0.0,,6155-0.1_pos,,
21001-0.0,0.0017777777777777779,0.00037248582207257997,0.6,1.2,,21001-0.0,,
30700-0.0,0.0015555555555555557,0.00036429028979109105,6.6,7.8,,30700-0.0,,
6153-0.2_pos,0.002,0.0003599805175679359,0.0,0.0,,6153-0.2_pos,,
2834-0.0_c2,0.0011111111111111111,0.00035679140154683904,0.0,0.0,,2834-0.0_c2,,
1369-0.0_c6,0.0013333333333333333,0.00034876697529873823,0.0,0.0,,1369-0.0_c6,,
1835-0.0_c1,0.0008888888888888889,0.0003467109859486448,0.0,0.0,,1835-0.0_c1,,
1883-0.0,0.0022222222222222222,0.00034342356840459697,1.8,2.7,,1883-0.0,,
1249-0.0_c4,0.0011111111111111111,0.00034057674044820865,0.0,0.0,,1249-0.0_c4,,
894-0.0,0.0017777777777777779,0.00033997125451813774,26.5,33.4,,894-0.0,,
30240-0.0,0.002,0.0003326578420583327,6.5,7.3,,30240-0.0,,
20116-0.0_c0,0.0017777777777777779,0.0003322136257746451,0.0,0.0,,20116-0.0_c0,,
30790-0.0,0.0017777777777777779,0.00033204673747303697,25.2,27.0,,30790-0.0,,
50-0.0,0.0017777777777777779,0.00033098483580055695,0.5,0.9,,50-0.0,,
30680-0.0,0.0013333333333333335,0.000328258382657016,14.4,15.2,,30680-0.0,,
2257-0.0_c0,0.0017777777777777779,0.00031798109054754847,0.0,0.0,,2257-0.0_c0,,
1498-0.0,0.0017777777777777779,0.00031540208588562056,0.4,0.8,,1498-0.0,,
30810-0.0,0.0015555555555555557,0.0003142768519538151,14.6,15.3,,30810-0.0,,
2335-0.0_c1,0.00044444444444444447,0.000313058684586391,0.0,0.0,,2335-0.0_c1,,
6147-0.2_pos,0.0015555555555555557,0.0002958598624252176,0.0,0.0,,6147-0.2_pos,,
