Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
0.055,0.897,0.455,0.906,0.087,0.361,0.146,0.837,0.089,2.78,0.0,0.007,0.026,0.008,0.003,0.019,0.003,0.004,0.002,0.139
0.056,0.897,0.455,0.906,0.087,0.361,0.146,0.837,0.089,2.78,0.0,0.007,0.026,0.008,0.003,0.019,0.003,0.004,0.002,0.139
0.057,0.902,0.44,0.911,0.089,0.351,0.148,0.837,0.089,2.853,0.0,0.007,0.018,0.007,0.004,0.011,0.004,0.004,0.002,0.09
0.058,0.902,0.44,0.911,0.089,0.351,0.148,0.837,0.089,2.853,0.0,0.007,0.018,0.007,0.004,0.011,0.004,0.004,0.002,0.09
0.059,0.908,0.421,0.917,0.092,0.339,0.15,0.837,0.089,2.957,0.0,0.009,0.022,0.009,0.005,0.013,0.006,0.004,0.002,0.118
0.06,0.908,0.421,0.917,0.092,0.339,0.151,0.837,0.089,2.955,0.0,0.009,0.022,0.009,0.005,0.013,0.006,0.004,0.002,0.118
0.061,0.909,0.42,0.918,0.092,0.338,0.151,0.837,0.089,2.962,0.0,0.008,0.022,0.009,0.005,0.013,0.005,0.004,0.002,0.117
0.062,0.912,0.405,0.922,0.094,0.328,0.152,0.837,0.089,3.065,0.0,0.008,0.031,0.009,0.004,0.022,0.004,0.004,0.002,0.217
0.063,0.916,0.396,0.926,0.095,0.322,0.153,0.837,0.089,3.115,0.0,0.004,0.021,0.005,0.003,0.017,0.004,0.004,0.002,0.172
0.064,0.916,0.395,0.926,0.095,0.321,0.153,0.837,0.089,3.122,0.0,0.004,0.02,0.004,0.002,0.016,0.004,0.004,0.002,0.166
0.065,0.919,0.385,0.929,0.097,0.314,0.154,0.837,0.089,3.194,0.0,0.006,0.024,0.006,0.004,0.019,0.004,0.004,0.002,0.192
0.066,0.919,0.383,0.93,0.097,0.313,0.154,0.837,0.089,3.208,0.0,0.006,0.023,0.006,0.004,0.017,0.004,0.004,0.002,0.18
0.067,0.919,0.383,0.93,0.097,0.313,0.155,0.837,0.089,3.21,0.0,0.006,0.023,0.006,0.004,0.018,0.004,0.004,0.002,0.183
0.068,0.921,0.378,0.931,0.098,0.31,0.156,0.837,0.089,3.236,0.0,0.004,0.018,0.004,0.003,0.015,0.004,0.004,0.002,0.156
0.069,0.921,0.378,0.931,0.098,0.31,0.156,0.837,0.089,3.236,0.0,0.004,0.018,0.004,0.003,0.015,0.004,0.004,0.002,0.156
0.07,0.928,0.347,0.939,0.101,0.286,0.156,0.837,0.089,3.508,0.0,0.005,0.017,0.005,0.004,0.013,0.004,0.004,0.002,0.162
0.071,0.929,0.344,0.94,0.102,0.284,0.157,0.837,0.089,3.529,0.0,0.003,0.016,0.004,0.003,0.013,0.003,0.004,0.002,0.158
0.072,0.934,0.318,0.946,0.105,0.264,0.158,0.837,0.089,3.794,0.0,0.006,0.02,0.007,0.006,0.014,0.004,0.004,0.002,0.198
0.073,0.934,0.318,0.946,0.105,0.264,0.158,0.837,0.089,3.794,0.0,0.006,0.02,0.007,0.006,0.014,0.004,0.004,0.002,0.198
0.074,0.934,0.318,0.946,0.105,0.264,0.158,0.837,0.089,3.793,0.0,0.006,0.02,0.007,0.006,0.014,0.004,0.004,0.002,0.198
0.075,0.934,0.318,0.946,0.105,0.264,0.158,0.837,0.089,3.793,0.0,0.006,0.02,0.007,0.006,0.014,0.004,0.004,0.002,0.198
0.076,0.934,0.318,0.946,0.105,0.264,0.158,0.837,0.089,3.793,0.0,0.006,0.02,0.007,0.006,0.014,0.004,0.004,0.002,0.198
0.077,0.934,0.318,0.946,0.105,0.264,0.158,0.837,0.089,3.793,0.0,0.006,0.02,0.007,0.006,0.014,0.004,0.004,0.002,0.198
0.078,0.937,0.308,0.949,0.107,0.257,0.158,0.837,0.089,3.906,0.0,0.006,0.024,0.007,0.006,0.017,0.004,0.004,0.002,0.256
0.079,0.937,0.308,0.949,0.107,0.257,0.158,0.837,0.089,3.906,0.0,0.006,0.024,0.007,0.006,0.017,0.004,0.004,0.002,0.256
0.08,0.944,0.278,0.957,0.113,0.235,0.161,0.837,0.089,4.262,0.0,0.004,0.017,0.004,0.004,0.013,0.003,0.004,0.002,0.232
0.081,0.944,0.278,0.957,0.113,0.235,0.161,0.837,0.089,4.262,0.0,0.004,0.017,0.004,0.004,0.013,0.003,0.004,0.002,0.232
0.082,0.944,0.278,0.957,0.113,0.235,0.161,0.837,0.089,4.27,0.0,0.004,0.017,0.004,0.004,0.013,0.003,0.004,0.002,0.24
0.083,0.944,0.275,0.958,0.114,0.233,0.161,0.837,0.089,4.308,0.0,0.004,0.018,0.004,0.004,0.014,0.003,0.004,0.002,0.248
0.084,0.944,0.275,0.958,0.114,0.233,0.161,0.837,0.089,4.308,0.0,0.004,0.018,0.004,0.004,0.014,0.003,0.004,0.002,0.248
