target,auc_mean,auc_std,hl_pvalue,sensitivity,specificity,youden,best_cutoff
DM_full,0.831,0.005,,0.818,0.702,0.52,0.021
DM_10yrs,0.833,0.004,,0.799,0.719,0.518,0.009
DM_5yrs,0.816,0.015,,0.778,0.719,0.497,0.002
AD_full,0.836,0.004,,0.862,0.663,0.525,0.008
AD_10yrs,0.832,0.013,,0.802,0.724,0.526,0.004
AD_5yrs,0.667,0.026,,0.49,0.843,0.333,0.001
