group,n,age_mean,age_std,female_pct,education_mean
INCLUDED,1595,72.68070846394984,7.270400955231714,47.523510971786834,16.07460815047022
EXCLUDED,1154,70.31749566724437,8.077143646762813,59.09878682842288,16.001733102253034
