rank,feature
1,FS_ST29SV
2,AMY_SUMMARY_SUVR
3,FS_ST31TA
4,FS_ST129SA
5,FS_ST98TA
6,FS_ST109TS
7,FS_ST72CV
8,NfL_F
9,APOE4_count
10,FS_ST13TS
