step,feature,auc,gain,is_imaging
1,FS_ST116TA,0.654274299810014,0.654274299810014,True
2,APOE4_count,0.7153945828945829,0.06112028308456896,False
3,FS_ST119SA,0.7393953624310767,0.02400077953649382,True
4,FS_ST89SV,0.7628431678431679,0.023447805412091127,True
5,FS_ST84CV,0.7712772628844058,0.008434095041237932,True
6,TAU_META_TEMPORAL_SUVR,0.7705726784298214,-0.0007045844545844338,True
7,FS_ST50TS,0.779491188776903,0.008918510347081687,True
8,WMH_CEREBRUM_TCC,0.7822368890226032,0.0027457002457002,True
9,PTWORKHS,0.7852847188561475,0.0030478298335442355,False
10,FS_ST88SV,0.7795349431063716,-0.005749775749775865,True
11,FS_ST90CV,0.7793403746975175,-0.0001945684088541233,True
