n_features,c_index,c_index_std
10,0.755970148079499,0.023487463025171268
9,0.7555261436262433,0.028568895453379373
8,0.7551551764869986,0.02449437359713785
7,0.7535450848540569,0.02277231737374439
6,0.7498840345751395,0.02373302616530467
5,0.7419686986680938,0.026112922955587377
4,0.7410044499762339,0.026661980132738763
3,0.7378127152226929,0.02580580395250485
2,0.7118606105109436,0.025067483350290326
1,0.6748936573847727,0.019391850269572155
